run7 >
   132 |   4847.8 |         1299.806 |         1277.086 |                  |  no    
   133 |   4847.9 |         1299.982 |         1273.628 |                  |  no    
   134 |   4847.7 |         1300.223 |         1270.579 |                  |  no    
   135 |   4847.9 |         1299.315 |         1277.981 |                  |  no    
   136 |   4847.8 |         1298.850 |         1271.329 |                  |  no    
   137 |   4847.7 |         1297.906 |         1268.251 |                  |  yes   
   138 |   4847.8 |         1297.479 |         1268.073 |                  |  yes   
   139 |   4847.8 |         1296.983 |         1274.984 |                  |  no    
   140 |   4847.6 |         1294.549 |         1278.662 |                  |  no    
   141 |   4847.8 |         1295.162 |         1270.531 |                  |  no    
   142 |   4847.7 |         1294.664 |         1274.323 |                  |  no    
   143 |   4847.4 |         1292.743 |         1275.389 |                  |  no    
   144 |   4847.3 |         1292.752 |         1274.939 |                  |  no    
   145 |   4848.0 |         1292.225 |         1266.504 |                  |  yes   
   146 |   4847.4 |         1290.988 |         1272.149 |                  |  no    
   147 |   4847.7 |         1289.569 |         1266.771 |                  |  no    
   148 |   4847.6 |         1289.424 |         1276.576 |                  |  no    
   149 |   4847.8 |         1289.920 |         1272.866 |                  |  no    
   150 |   4847.8 |         1288.207 |         1274.341 |                  |  no    
   151 |   4847.9 |         1288.062 |         1273.761 |                  |  no    
   152 |   4848.0 |         1289.090 |         1271.443 |                  |  no    
   153 |   4847.6 |         1287.830 |         1273.950 |                  |  no    
   154 |   4847.3 |         1286.545 |         1272.149 |                  |  no    
   155 |   4847.5 |         1287.590 |         1275.380 |                  |  no    
   156 |   4847.6 |         1284.154 |         1268.528 |                  |  no    
   157 |   4847.6 |         1284.661 |         1272.699 |                  |  no    
   158 |   4847.7 |         1285.121 |         1272.179 |                  |  no    
   159 |   4847.8 |         1283.436 |         1276.271 |                  |  no    
   160 |   4847.8 |         1283.848 |         1271.671 |                  |  no    
   161 |   4847.5 |         1282.363 |         1272.941 |                  |  no    
   162 |   4847.9 |         1283.025 |         1267.490 |                  |  no    
   163 |   4847.5 |         1281.245 |         1273.389 |                  |  no    
   164 |   4848.0 |         1280.158 |         1268.045 |                  |  no    
   165 |   4847.5 |         1280.325 |         1268.787 |                  |  no    
   166 |   4847.9 |         1279.446 |         1268.820 |                  |  no    
   167 |   4847.5 |         1280.194 |         1269.727 |                  |  no    
   168 |   4847.7 |         1278.489 |         1269.871 |                  |  no    
   169 |   4847.6 |         1277.986 |         1266.677 |                  |  no    
   170 |   4847.5 |         1277.722 |         1267.784 |                  |  no    
   171 |   4847.6 |         1277.829 |         1265.939 |                  |  yes   
   172 |   4847.6 |         1276.752 |         1271.215 |                  |  no    
   173 |   4847.4 |         1276.748 |         1272.730 |                  |  no    
   174 |   4847.7 |         1276.345 |         1274.225 |                  |  no    
   175 |   4847.8 |         1276.960 |         1274.091 |                  |  no    
   176 |   4847.7 |         1273.756 |         1268.787 |                  |  no    
   177 |   4847.7 |         1274.110 |         1268.820 |                  |  no    
   178 |   4847.5 |         1274.311 |         1267.575 |                  |  no    
   179 |   4847.6 |         1273.272 |         1269.265 |                  |  no    
   180 |   4847.7 |         1271.884 |         1265.848 |                  |  yes   
   181 |   4847.8 |         1271.661 |         1262.809 |                  |  yes   
   182 |   4847.7 |         1271.634 |         1273.105 |                  |  no    
   183 |   4847.7 |         1271.003 |         1267.971 |                  |  no    
   184 |   4847.8 |         1271.947 |         1270.609 |                  |  no    
   185 |   4847.8 |         1270.665 |         1273.621 |                  |  no    
   186 |   4847.9 |         1272.724 |         1266.904 |                  |  no    
   187 |   4847.7 |         1269.046 |         1269.462 |                  |  no    
   188 |   4847.4 |         1271.309 |         1266.392 |                  |  no    
   189 |   4847.7 |         1269.119 |         1271.218 |                  |  no    
   190 |   4847.7 |         1270.742 |         1269.725 |                  |  no    
   191 |   4847.6 |         1268.902 |         1268.562 |                  |  no    
   192 |   4847.7 |         1270.346 |         1270.769 |                  |  no    
   193 |   4847.7 |         1268.343 |         1271.685 |                  |  no    
   194 |   4847.7 |         1267.749 |         1272.695 |                  |  no    
   195 |   4847.6 |         1268.657 |         1272.842 |                  |  no    
   196 |   4847.8 |         1267.345 |         1271.195 |                  |  no    
   197 |   4847.7 |         1266.778 |         1273.928 |                  |  no    
   198 |   4847.5 |         1267.229 |         1271.003 |                  |  no    
   199 |   4848.0 |         1267.997 |         1270.139 |                  |  no    
   200 |   4847.7 |         1265.062 |         1269.266 |                  |  no    
   201 |   4847.7 |         1266.368 |         1271.777 |                  |  no    
   202 |   4847.7 |         1264.865 |         1269.758 |                  |  no    
   203 |   4847.5 |         1262.662 |         1268.259 |                  |  no    
   204 |   4847.4 |         1265.579 |         1266.640 |                  |  no    
   205 |   4847.7 |         1263.303 |         1269.770 |                  |  no    
   206 |   4847.6 |         1263.395 |         1271.904 |                  |  no    
   207 |   4847.6 |         1261.966 |         1268.041 |                  |  no    
   208 |   4847.8 |         1262.173 |         1266.828 |                  |  no    
   209 |   4847.7 |         1262.188 |         1278.991 |                  |  no    
   210 |   4847.6 |         1261.109 |         1267.108 |                  |  no    
   211 |   4847.8 |         1261.091 |         1271.774 |                  |  no    
